63,"Walking, 3 mph (20 minutes/mile)",72,80,88,96,104,112,120,128,136,144,152,160,176,192,208,224,240
64,"Walking, 4 mph (15 minutes/mile)",90,100,110,120,130,140,150,160,170,180,190,200,220,240,260,280,300
65,Washing the car,68,75,82,90,98,105,112,120,128,135,142,150,165,180,195,210,225
66,Waterskiing,144,160,176,192,208,224,240,256,272,288,304,320,352,384,416,448,480
67,Waxing the car,90,100,110,120,130,140,150,160,170,180,190,200,220,240,260,280,300
68,Weeding,90,100,110,120,130,140,150,160,170,180,190,200,220,240,260,280,300
69,Weight training (40 sec between sets),230,255,280,306,332,357,382,408,433,459,484,510,561,612,663,714,765
70,Weight training (60 sec between sets),171,190,209,228,247,266,285,304,323,342,361,380,418,456,494,532,570
71,Weight training (90 sec between sets),112,125,138,150,162,175,188,200,213,225,237,250,275,300,325,350,375
72,Window cleaning,68,75,82,90,98,105,112,120,128,135,142,150,165,180,195,210,225
